Rank,Country,Population_2026,Yearly_Change,Net_Change,Density_per_km2,Land_Area_km2,Migrants_Net,Fertility_Rate,Median_Age,Urban_Population_pct,World_Share_pct
96,Greece,9897115,-0.42,-41729.0,77,128900,14649.0,1.34,47.1,90.0,0.12
97,Israel,9647689,1.37,130508.0,446,21640,13023.0,2.73,29.3,91.5,0.12
98,Hungary,9585818,-0.48,-46469.0,106,90530,12936.0,1.5,44.2,72.4,0.12
99,Austria,9107266,-0.07,-6308.0,111,82409,13212.0,1.34,43.9,59.0,0.11
100,Switzerland,9007798,0.45,40391.0,228,39516,34096.0,1.45,43.2,74.6,0.11
101,Sierra Leone,8996745,2.01,176951.0,125,72180,-12277.0,3.53,19.9,46.0,0.11
102,Belarus,8937018,-0.67,-60585.0,44,202910,-3608.0,1.23,41.8,85.1,0.11
103,Laos,7974017,1.28,100971.0,35,230800,-11125.0,2.33,25.3,38.9,0.096
104,Turkmenistan,7736632,1.55,117785.0,16,469930,11792.0,2.6,27.3,46.7,0.093
105,Libya,7539851,1.09,81296.0,4,1759540,2610.0,2.21,28.0,77.7,0.091
106,Kyrgyzstan,7400465,1.45,105431.0,39,191800,39.0,2.72,25.5,35.5,0.089
107,Hong Kong,7378602,-0.24,-17474.0,7027,1050,-12576.0,0.75,47.9,0.0,0.089
108,Nicaragua,7097329,1.28,89827.0,59,120340,-8485.0,2.16,26.3,58.2,0.086
109,Paraguay,7095279,1.17,82201.0,18,397300,-12243.0,2.37,27.3,68.3,0.085
110,Bulgaria,6667659,-0.7,-46901.0,61,108560,-5722.0,1.74,45.0,77.4,0.08
111,Serbia,6641964,-0.7,-47075.0,76,87460,-5883.0,1.5,44.7,74.2,0.08
112,Congo,6637785,2.36,153348.0,19,341500,-3298.0,3.99,18.7,70.3,0.08
113,El Salvador,6391253,0.4,25750.0,308,20720,-23530.0,1.74,28.4,80.5,0.077
114,Denmark,6023520,0.35,21013.0,142,42430,18360.0,1.52,41.3,87.6,0.073
115,Singapore,5905748,0.6,34998.0,8437,700,13379.0,0.97,36.8,0.0,0.071
116,Lebanon,5897467,0.82,48046.0,576,10230,-6685.0,2.19,29.0,84.4,0.071
117,Liberia,5853949,2.14,122743.0,61,96320,-1051.0,3.71,19.0,55.7,0.071
118,Central African Republic,5698984,3.37,185702.0,9,622980,-15608.0,5.69,14.6,44.5,0.069
